© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Sleep NREM Signaling Pathway	-0E00	8.7E-03	NaN	MAP2K1	
Mitochondrial Division Signaling Pathway	-0E00	6.02E-03	NaN	TNFRSF1A	
Post-translational modification: synthesis of GPI-anchored proteins	-0E00	1.08E-02	NaN	CD109	
Lung Ionic Balance Signaling Pathway	-0E00	5.68E-03	NaN	CELSR2,CPOX,TNFRSF1A	
TRIM21 Intracellular Antibody Signaling Pathway	-0E00	5.27E-03	NaN	CTNNB1,MAP1LC3A,RIGI	
Bone Mineralization Signaling Pathway	-0E00	6.62E-03	NaN	CTNNB1	
ID3 Signaling Pathway	-0E00	2.06E-03	NaN	AKT1,MECP2	
Centrosomal KIAA0586 Signaling Pathway	-0E00	7.46E-03	NaN	SMC3	
Cilia Biogenesis Signaling Pathway	-0E00	4.9E-03	NaN	GNG5	
Zn Homeostasis Signaling Pathway	-0E00	2.77E-03	NaN	AKT1,CELSR2,MMP13	
Meiosis Initiation Signaling Pathway	-0E00	1.02E-02	NaN	SMC3	
NF1 RAS Signaling Pathway	-0E00	9.29E-03	NaN	AKT1,CELSR2,GNG5,MAP2K1,RNF7	
Egg-Sperm Fusion Signaling Pathway	-0E00	9.17E-03	NaN	AKT1	
SLAMF Signaling Pathway	-0E00	3.07E-03	NaN	AKT1,AP2A1,MMP13	
Neuropeptides in Migraine Signaling Pathway	-0E00	5.65E-03	NaN	GNG5	
Exocyst Signaling Pathway	-0E00	3.61E-03	NaN	AKT1,ULK1	
Cardiac Valve Formation Signaling Pathway	-0E00	5.41E-03	NaN	CTNNB1	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	1.08E-02	NaN	AKT1	
Role of NFAT in Regulation of the Immune Response	-0E00	3.82E-03	NaN	AKT1,GNG5,HLA-A,MAP2K1	
FcγRIIB Signaling in B Lymphocytes	-0E00	3.75E-03	NaN	AKT1,MAPK9	
CCR5 Signaling in Macrophages	-0E00	3.98E-03	NaN	GNG5,MAPK9	
Calcium-induced T Lymphocyte Apoptosis	-0E00	2.15E-03	NaN	HLA-A	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	2.34E-03	NaN	HLA-A	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	8.18E-03	NaN	AKT1,AP2A1,H2-Q8,HLA-A,MAPK9	
IL-15 Production	-0E00	8.2E-03	NaN	MAP2K1	
T Helper Cell Differentiation	-0E00	6.32E-03	NaN	HLA-A,ICOSLG,TNFRSF1A	
CD28 Signaling in T Helper Cells	-0E00	7.65E-03	NaN	AKT1,HLA-A,MAP2K1,MAPK9	
IL-15 Signaling	-0E00	5.69E-03	NaN	AKT1,MAP2K1,MLST8	
Dendritic Cell Maturation	-0E00	6.5E-03	NaN	AKT1,HLA-A,MAPK9,TNFRSF1A	
Cellular Effects of Sildenafil (Viagra)	-0E00	1.17E-02	NaN	AKT1,CELSR2,GNG5,MAPK15,MAPK9,MYH10,MYH14,MYO10	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	5.85E-03	NaN	AKT1,HLA-A,ICOSLG	
Molecular Mechanisms of Cancer	-0E00	1.05E-02	NaN	AKT1,CELSR2,CTNNB1,GNG5,ITGAV,LRP6,MAP2K1,MAPK9,MMP13	
Lipid Antigen Presentation by CD1	-0E00	2.41E-03	NaN	AP2A1	
Corticotropin Releasing Hormone Signaling	-0E00	6.45E-03	NaN	MAP2K1	
Melanocyte Development and Pigmentation Signaling	-0E00	1.01E-02	NaN	MAP2K1	
Prolactin Signaling	-0E00	1.04E-02	NaN	MAP2K1	
CREB Signaling in Neurons	-0E00	8.05E-03	NaN	AKT1,CELSR2,GNG5,GRIK4,MAP2K1	
Type I Diabetes Mellitus Signaling	-0E00	5.84E-03	NaN	HLA-A,MAPK9,TNFRSF1A	
Allograft Rejection Signaling	-0E00	4.05E-03	NaN	H2-Q8,HLA-A	
Autoimmune Thyroid Disease Signaling	-0E00	4.3E-03	NaN	CGA,HLA-A	
Graft-versus-Host Disease Signaling	-0E00	2.22E-03	NaN	HLA-A	
p70S6K Signaling	-0E00	3.4E-03	NaN	AKT1,MAP2K1	
G Protein Signaling Mediated by Tubby	-0E00	2.13E-03	NaN	GNG5	
Communication between Innate and Adaptive Immune Cells	-0E00	2.13E-03	NaN	Ccl9,HLA-A	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.02E-02	NaN	HLA-A	
Systemic Lupus Erythematosus Signaling	-0E00	2.81E-03	NaN	AKT1,HLA-A,PRPF8	
CDC42 Signaling	-0E00	8.59E-03	NaN	H2-Q8,HLA-A,ITGAV,MAPK9,WASL	
FAK Signaling	-0E00	6.76E-03	NaN	AKT1,CELSR2,CTNNB1,ITGAV,MAP2K1,MAPK9,WASL	
Hereditary Breast Cancer Signaling	-0E00	7.25E-03	NaN	AKT1	
RHOA Signaling	-0E00	8E-03	NaN	NRP2	
Phospholipase C Signaling	-0E00	3.55E-03	NaN	GNG5,ITGAV,MAP2K1,PPP1R14A	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.06E-03	NaN	HLA-A	
B Cell Development	-0E00	2.04E-03	NaN	HLA-A	
Breast Cancer Regulation by Stathmin1	-0E00	8.28E-03	NaN	CELSR2,GNG5,MAP2K1,PPP1R11,PPP1R14A	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	4.28E-03	NaN	MAP2K1,MAPK9	
NUR77 Signaling in T Lymphocytes	-0E00	5.78E-03	NaN	H2-Q8,HLA-A,MAP2K1	
PKCθ Signaling in T Lymphocytes	-0E00	1.78E-03	NaN	HLA-A	
OX40 Signaling Pathway	-0E00	6.22E-03	NaN	H2-Q8,HLA-A,MAPK9	
PI3K Signaling in B Lymphocytes	-0E00	3.34E-03	NaN	AKT1,MAP2K1	
eNOS Signaling	-0E00	6.21E-03	NaN	AKT1	
Gαi Signaling	-0E00	6.85E-03	NaN	GNG5	
PEDF Signaling	-0E00	1.19E-02	NaN	AKT1	
Regulation of Cellular Mechanics by Calpain Protease	-0E00	1.12E-02	NaN	ITGAV	
Sperm Motility	-0E00	1.13E-02	NaN	GNG5,MAP2K1,PLA2R1	
TEC Kinase Signaling	-0E00	5.18E-03	NaN	GNG5,ITGAV,MAPK9	
UVA-Induced MAPK Signaling	-0E00	9.62E-03	NaN	MAPK9	
Parkinson's Signaling Pathway	-0E00	9.55E-03	NaN	Il36a,NDUFA2,NDUFV3	
SAPK/JNK Signaling	-0E00	3.98E-03	NaN	GNG5,MAPK9	
IL-4 Signaling	-0E00	5.21E-03	NaN	AKT1,COL6A5,MLST8	
B Cell Receptor Signaling	-0E00	4.69E-03	NaN	AKT1,MAP2K1,MAPK9	
Death Receptor Signaling	-0E00	1.03E-02	NaN	TNFRSF1A	
p38 MAPK Signaling	-0E00	8.06E-03	NaN	TNFRSF1A	
NF-κB Signaling	-0E00	3.5E-03	NaN	AKT1,TNFRSF1A	
T Cell Receptor Signaling	-0E00	1.13E-02	NaN	AKT1,CTNNB1,H2-Q8,HLA-A,ICOSLG,MAP2K1,MLST8	
G-Protein Coupled Receptor Signaling	-0E00	9.86E-03	NaN	AKT1,ARRB1,CELSR2,CTNNB1,GNG5,MAP2K1,MAPK9	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	7.94E-03	NaN	GNG5	
T Cell Exhaustion Signaling Pathway	-0E00	5.28E-03	NaN	AKT1,HLA-A,MAPK9	
Systemic Lupus Erythematosus in T Cell Signaling Pathway	-0E00	9.3E-03	NaN	AKT1,H2-Q8,HLA-A,ICOSLG,MAP2K1,MLST8	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	-0E00	6.87E-03	NaN	AKT1,CTNNB1,Il36a,ISG15,MAP2K1	
Senescence Pathway	-0E00	9.9E-03	NaN	AKT1,MAP2K1,MAPK15	
Necroptosis Signaling Pathway	-0E00	6.17E-03	NaN	TNFRSF1A	
Insulin Secretion Signaling Pathway	-0E00	6.87E-03	NaN	EIF2B2,EIF4EBP2	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	-0E00	1.16E-02	NaN	CTNNB1	
